(-1.10, 0.54, 2.63) (-2.17, 1.12, -1.64) 
(-2.20, 1.48, -1.18) (-1.95, 1.09, -1.92) 
(2.54, 1.39, 0.09) (2.53, 1.50, -0.03) 
(1.35, 2.44, -0.82) (2.50, 1.43, -0.55) 
(-2.80, 0.69, 0.27) (-2.56, 1.37, 0.40) 
(1.62, 1.85, 1.54) (2.24, 1.91, 0.02) 
(-0.39, 1.98, 2.08) (-2.56, 1.39, 0.29) 
(-2.02, 0.05, -2.08) (-2.41, 1.05, -1.30) 
(0.44, 2.80, 0.63) (2.08, 2.09, 0.07) 
(1.49, 0.44, 2.45) (1.79, 2.21, -0.75) 
(-1.16, 2.65, -0.27) (-2.02, 0.71, -2.02) 
(-0.72, 0.99, -2.63) (-0.71, 0.17, -2.84) 
(2.53, 0.38, -1.36) (2.69, 1.05, -0.56) 
(1.37, 1.19, -2.27) (2.54, 1.07, -1.05) 
(-0.14, 2.33, -1.72) (0.56, 1.69, -2.34) 
(-1.83, 1.92, 1.18) (-2.62, 1.33, 0.01) 
(-1.10, 0.54, 2.63) (-2.11, 1.05, -1.75) 
(0.44, 2.80, 0.63) (2.29, 1.80, -0.37) 
(-0.72, 0.99, -2.63) (-2.14, 0.87, -1.80) 
(-0.39, 1.98, 2.08) (-0.12, 2.02, 2.14) 
(2.53, 0.38, -1.36) (2.53, 1.44, -0.40) 
(2.54, 1.39, 0.09) (2.44, 1.47, -0.68) 
(1.37, 1.19, -2.27) (1.77, 1.58, -1.74) 
(1.62, 1.85, 1.54) (1.69, 2.05, -1.27) 
(1.35, 2.44, -0.82) (2.00, 1.47, -1.56) 
(-1.83, 1.92, 1.18) (-2.70, 1.18, -0.04) 
(1.49, 0.44, 2.45) (2.55, 1.46, -0.01) 
(-2.02, 0.05, -2.08) (-2.38, 0.83, -1.50) 
(-0.14, 2.33, -1.72) (-1.65, 0.80, -2.29) 
(-2.80, 0.69, 0.27) (-1.84, 0.98, -2.06) 
(-2.20, 1.48, -1.18) (-1.77, 1.03, -2.10) 
(-1.16, 2.65, -0.27) (-1.56, 0.55, -2.44) 
(2.54, 1.39, 0.09) (2.52, 1.51, 0.04) 
(1.37, 1.19, -2.27) (1.68, 1.96, -1.40) 
(1.49, 0.44, 2.45) (0.81, 2.03, -1.98) 
(-2.80, 0.69, 0.27) (-2.61, 1.32, -0.16) 
(1.35, 2.44, -0.82) (2.06, 1.20, -1.71) 
(-1.10, 0.54, 2.63) (-2.14, 1.02, -1.72) 
(1.62, 1.85, 1.54) (2.13, 2.03, 0.06) 
(-0.72, 0.99, -2.63) (-1.13, 0.40, -2.69) 
(-2.02, 0.05, -2.08) (-1.78, 0.30, -2.30) 
(-1.16, 2.65, -0.27) (-1.80, 0.30, -2.29) 
(-0.39, 1.98, 2.08) (0.00, 2.88, 0.00) 
(2.53, 0.38, -1.36) (2.24, 1.88, -0.20) 
(-1.83, 1.92, 1.18) (-2.59, 1.34, 0.31) 
(-0.14, 2.33, -1.72) (-1.28, 0.59, -2.58) 
(-2.20, 1.48, -1.18) (-1.34, 0.66, -2.53) 
