(1.62, 1.85, 1.54) (2.10, 1.82, -0.94) 
(-1.83, 1.92, 1.18) (-1.99, 1.81, -1.17) 
(2.54, 1.39, 0.09) (1.40, 1.48, -2.12) 
(-1.10, 0.54, 2.63) (-0.59, 2.82, 0.58) 
(1.37, 1.19, -2.27) (0.70, 1.55, -2.40) 
(2.53, 0.38, -1.36) (1.25, 0.73, -2.55) 
(-2.02, 0.05, -2.08) (-1.39, 1.45, -2.14) 
(-0.72, 0.99, -2.63) (-0.48, 2.13, -1.98) 
(-1.16, 2.65, -0.27) (-0.86, 0.29, -2.78) 
(1.49, 0.44, 2.45) (1.30, 2.59, 0.47) 
(1.35, 2.44, -0.82) (2.34, 1.71, -0.50) 
(0.44, 2.80, 0.63) (0.81, 2.76, 0.60) 
(-2.20, 1.48, -1.18) (-1.99, 1.66, -1.41) 
(-2.80, 0.69, 0.27) (-1.27, 2.32, -1.28) 
(-0.39, 1.98, 2.08) (-0.38, 2.87, 0.53) 
(-0.14, 2.33, -1.72) (0.01, 2.94, -0.10) 
(-1.10, 0.54, 2.63) (-0.84, 2.75, 0.65) 
(1.35, 2.44, -0.82) (1.79, 1.83, -1.44) 
(0.44, 2.80, 0.63) (1.19, 2.63, 0.53) 
(2.54, 1.39, 0.09) (1.96, 0.46, -2.13) 
(1.62, 1.85, 1.54) (2.21, 1.89, -0.42) 
(-1.16, 2.65, -0.27) (-1.54, 0.38, -2.47) 
(1.49, 0.44, 2.45) (0.84, 2.79, 0.41) 
(-2.02, 0.05, -2.08) (-1.29, 1.64, -2.08) 
(2.53, 0.38, -1.36) (1.77, 1.45, -1.84) 
(-2.20, 1.48, -1.18) (-1.62, 1.40, -2.00) 
(-1.83, 1.92, 1.18) (-1.70, 2.19, -0.97) 
(1.37, 1.19, -2.27) (0.25, 1.10, -2.71) 
(-0.72, 0.99, -2.63) (0.19, 1.48, -2.52) 
(-0.14, 2.33, -1.72) (0.07, 2.85, -0.71) 
(-2.80, 0.69, 0.27) (-1.90, 1.52, -1.64) 
(-0.39, 1.98, 2.08) (-0.73, 2.84, 0.18) 
(-1.10, 0.54, 2.63) (-0.05, 2.95, -0.06) 
(-1.83, 1.92, 1.18) (-1.44, 2.15, -1.40) 
(-1.16, 2.65, -0.27) (0.62, 1.33, -2.54) 
(-2.02, 0.05, -2.08) (-1.18, 2.48, -1.08) 
(-0.14, 2.33, -1.72) (0.55, 1.87, -2.19) 
(1.35, 2.44, -0.82) (1.50, 2.11, -1.42) 
(-2.20, 1.48, -1.18) (-1.66, 1.76, -1.68) 
(-2.80, 0.69, 0.27) (-1.57, 2.23, -1.09) 
(-0.39, 1.98, 2.08) (0.00, 2.90, 0.50) 
(-0.72, 0.99, -2.63) (0.28, 1.40, -2.56) 
(2.54, 1.39, 0.09) (1.33, 1.17, -2.35) 
(0.44, 2.80, 0.63) (0.95, 2.78, 0.22) 
(1.37, 1.19, -2.27) (0.40, 1.33, -2.58) 
(1.62, 1.85, 1.54) (2.09, 1.80, -1.01) 
(1.49, 0.44, 2.45) (0.82, 2.79, 0.42) 
