(-1.83, 1.92, 1.18) (-2.67, 0.67, -1.05) 
(-2.20, 1.48, -1.18) (-2.40, 0.22, -1.68) 
(1.49, 0.44, 2.45) (1.20, 2.17, -1.58) 
(-1.16, 2.65, -0.27) (-2.36, 1.15, -1.31) 
(0.44, 2.80, 0.63) (0.99, 2.25, -1.60) 
(1.62, 1.85, 1.54) (2.05, 2.10, -0.24) 
(2.54, 1.39, 0.09) (2.38, 1.17, -1.26) 
(-0.39, 1.98, 2.08) (-2.10, 0.86, -1.85) 
(-0.72, 0.99, -2.63) (-0.77, 1.28, -2.52) 
(1.35, 2.44, -0.82) (1.29, 1.80, -1.94) 
(2.53, 0.38, -1.36) (-1.01, 2.03, -1.87) 
(-0.14, 2.33, -1.72) (-0.41, 0.22, -2.89) 
(-2.02, 0.05, -2.08) (-2.70, 0.42, -1.08) 
(-1.10, 0.54, 2.63) (-0.82, 1.42, -2.43) 
(-2.80, 0.69, 0.27) (-2.75, 0.95, -0.33) 
(1.37, 1.19, -2.27) (1.58, 0.78, -2.35) 
(1.49, 0.44, 2.45) (0.71, 2.04, -2.00) 
(1.35, 2.44, -0.82) (1.53, 1.75, -1.78) 
(-2.80, 0.69, 0.27) (-2.58, 1.29, -0.57) 
(-1.10, 0.54, 2.63) (-0.48, 2.53, -1.42) 
(0.44, 2.80, 0.63) (2.63, 1.25, -0.38) 
(1.37, 1.19, -2.27) (1.69, 1.29, -2.02) 
(-1.83, 1.92, 1.18) (-2.49, 1.48, 0.51) 
(-0.39, 1.98, 2.08) (-0.41, 1.38, -2.55) 
(1.62, 1.85, 1.54) (2.53, 1.47, -0.16) 
(2.54, 1.39, 0.09) (2.40, 0.84, -1.46) 
(-1.16, 2.65, -0.27) (-1.84, 0.95, -2.07) 
(-2.02, 0.05, -2.08) (-1.71, 0.15, -2.38) 
(-0.72, 0.99, -2.63) (-0.95, 1.19, -2.52) 
(-2.20, 1.48, -1.18) (-2.38, 0.37, -1.67) 
(-0.14, 2.33, -1.72) (-0.21, 2.59, -1.37) 
(2.53, 0.38, -1.36) (2.64, 0.37, -1.22) 
(2.54, 1.39, 0.09) (2.47, 1.13, -1.14) 
(-0.14, 2.33, -1.72) (-0.31, 1.57, -2.46) 
(-1.10, 0.54, 2.63) (-2.82, 0.79, -0.08) 
(1.35, 2.44, -0.82) (2.88, 0.61, -0.11) 
(1.37, 1.19, -2.27) (2.62, 1.23, -0.52) 
(-1.16, 2.65, -0.27) (-2.43, 1.37, -0.90) 
(-0.72, 0.99, -2.63) (-0.70, 1.14, -2.62) 
(1.49, 0.44, 2.45) (2.57, 1.42, -0.07) 
(-2.02, 0.05, -2.08) (-2.76, 0.81, -0.59) 
(-2.80, 0.69, 0.27) (-2.57, 1.37, -0.33) 
(1.62, 1.85, 1.54) (2.19, 1.45, -1.30) 
(0.44, 2.80, 0.63) (1.86, 2.15, -0.77) 
(-1.83, 1.92, 1.18) (-2.38, 1.46, -0.92) 
(2.53, 0.38, -1.36) (2.25, 1.43, -1.21) 
(-2.20, 1.48, -1.18) (-2.62, 0.37, -1.26) 
