(-1.16, 2.65, -0.27) (-1.03, 2.60, -0.88) 
(-0.72, 0.99, -2.63) (-0.23, 2.82, -0.80) 
(-2.02, 0.05, -2.08) (-1.47, 2.34, -1.01) 
(-0.39, 1.98, 2.08) (-0.06, 2.90, -0.57) 
(1.37, 1.19, -2.27) (1.31, 1.26, -2.30) 
(1.35, 2.44, -0.82) (0.89, 2.51, -1.25) 
(1.62, 1.85, 1.54) (1.92, 2.20, 0.38) 
(2.54, 1.39, 0.09) (0.94, 2.71, -0.67) 
(-1.83, 1.92, 1.18) (-2.21, 1.74, -0.85) 
(-2.80, 0.69, 0.27) (-1.06, 2.66, -0.69) 
(0.44, 2.80, 0.63) (0.26, 2.88, -0.57) 
(-1.10, 0.54, 2.63) (-0.05, 2.70, -1.18) 
(-0.14, 2.33, -1.72) (-0.07, 1.23, -2.67) 
(1.49, 0.44, 2.45) (1.30, 2.64, -0.04) 
(-2.20, 1.48, -1.18) (-2.16, 1.65, -1.11) 
(2.53, 0.38, -1.36) (2.15, 0.46, -1.94) 
(2.53, 0.38, -1.36) (1.58, 0.47, -2.44) 
(-2.80, 0.69, 0.27) (-2.02, 1.59, -1.44) 
(1.37, 1.19, -2.27) (0.63, 1.90, -2.15) 
(-0.72, 0.99, -2.63) (-0.17, 2.83, -0.77) 
(0.44, 2.80, 0.63) (0.81, 2.78, -0.51) 
(-0.39, 1.98, 2.08) (0.02, 2.82, 0.82) 
(-2.02, 0.05, -2.08) (-2.20, 1.68, -1.00) 
(1.49, 0.44, 2.45) (0.58, 2.62, -1.19) 
(-1.10, 0.54, 2.63) (0.08, 2.82, -0.83) 
(1.35, 2.44, -0.82) (0.64, 2.11, -1.95) 
(-2.20, 1.48, -1.18) (-1.16, 2.18, -1.60) 
(1.62, 1.85, 1.54) (1.27, 2.46, -1.03) 
(-1.16, 2.65, -0.27) (-1.36, 2.53, -0.65) 
(-0.14, 2.33, -1.72) (0.19, 2.75, -1.03) 
(2.54, 1.39, 0.09) (2.44, 1.62, -0.27) 
(-1.83, 1.92, 1.18) (-2.36, 1.57, 0.76) 
(1.35, 2.44, -0.82) (2.26, 1.54, -1.08) 
(1.49, 0.44, 2.45) (0.65, 2.78, -0.70) 
(-1.10, 0.54, 2.63) (-0.48, 2.75, -0.92) 
(-2.80, 0.69, 0.27) (-1.88, 2.19, -0.54) 
(-2.02, 0.05, -2.08) (-1.86, 1.72, -1.48) 
(-0.39, 1.98, 2.08) (0.07, 2.55, 1.46) 
(-2.20, 1.48, -1.18) (-2.13, 1.42, -1.44) 
(-0.14, 2.33, -1.72) (-0.06, 2.91, -0.45) 
(1.62, 1.85, 1.54) (1.66, 2.31, -0.73) 
(2.53, 0.38, -1.36) (1.90, 1.25, -1.87) 
(-1.16, 2.65, -0.27) (-2.50, 1.52, -0.20) 
(-0.72, 0.99, -2.63) (-1.38, 0.49, -2.54) 
(2.54, 1.39, 0.09) (2.44, 1.52, -0.61) 
(0.44, 2.80, 0.63) (0.25, 2.87, 0.62) 
(-1.83, 1.92, 1.18) (-1.56, 2.48, -0.32) 
